epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3723.74,0.63112,1.25118,0.48605,1.08294,0.91935,0.89056,0.94388,0.81693,0.91811,0.88936,0.94144,0.78764,0.57618,1.19979,0.43864,1.0512,0.007129,0.007129,0.007129
31,3848.38,0.62442,1.24343,0.4799,1.08175,0.93784,0.87037,0.9426,0.8138,0.93569,0.86779,0.93998,0.7846,0.56771,1.16494,0.44713,1.0386,0.00703,0.00703,0.00703
32,3972.52,0.62561,1.24542,0.47531,1.08188,0.92823,0.878,0.94204,0.81619,0.92429,0.8756,0.94108,0.78974,0.57206,1.17405,0.43615,1.04484,0.006931,0.006931,0.006931
33,4096.41,0.62035,1.22564,0.47067,1.07953,0.91693,0.88401,0.94233,0.81346,0.9156,0.88522,0.94018,0.79041,0.57827,1.15477,0.43839,1.04926,0.006832,0.006832,0.006832
34,4220.18,0.61776,1.22105,0.46991,1.0772,0.93434,0.88081,0.94786,0.82011,0.93188,0.87962,0.94399,0.79261,0.55993,1.14232,0.43676,1.03199,0.006733,0.006733,0.006733
35,4344.13,0.62052,1.21655,0.4707,1.07676,0.9195,0.89844,0.94944,0.82205,0.91706,0.89303,0.94385,0.79434,0.57007,1.15393,0.41509,1.0456,0.006634,0.006634,0.006634
36,4467.85,0.61294,1.21407,0.46615,1.07149,0.92802,0.88401,0.94699,0.82344,0.92929,0.88522,0.9473,0.79497,0.57459,1.17448,0.42647,1.0503,0.006535,0.006535,0.006535
37,4591.56,0.61586,1.21065,0.46784,1.07336,0.92446,0.88281,0.94765,0.82444,0.9114,0.89641,0.94691,0.79431,0.5658,1.13841,0.41896,1.04002,0.006436,0.006436,0.006436
38,4715.62,0.60565,1.20936,0.46259,1.07215,0.9357,0.88333,0.9461,0.82113,0.93203,0.88101,0.94381,0.79501,0.55668,1.13718,0.43524,1.029,0.006337,0.006337,0.006337
39,4839.56,0.60071,1.19504,0.45931,1.06634,0.92346,0.89724,0.95025,0.82565,0.92203,0.89543,0.94673,0.79856,0.55873,1.14225,0.41875,1.03227,0.006238,0.006238,0.006238
40,4963.4,0.60601,1.19582,0.46056,1.06935,0.93176,0.88642,0.94751,0.8244,0.92845,0.88903,0.94642,0.79835,0.55746,1.10357,0.42937,1.02604,0.006139,0.006139,0.006139
41,5087.47,0.60852,1.20425,0.45608,1.07025,0.92832,0.89062,0.94923,0.82497,0.92892,0.88942,0.94884,0.79658,0.55762,1.12823,0.42682,1.0322,0.00604,0.00604,0.00604
42,5211.37,0.60126,1.20061,0.45294,1.06326,0.9372,0.88041,0.94945,0.82729,0.93896,0.88161,0.94889,0.7993,0.55894,1.12385,0.41297,1.02857,0.005941,0.005941,0.005941
43,5335.29,0.60182,1.18142,0.45576,1.06398,0.93597,0.88462,0.94886,0.82645,0.93535,0.88161,0.94517,0.79569,0.56069,1.12667,0.41631,1.03094,0.005842,0.005842,0.005842
44,5459.46,0.59617,1.17628,0.44725,1.05999,0.93548,0.88877,0.94839,0.82685,0.93372,0.88899,0.94747,0.79788,0.55455,1.1298,0.41513,1.0254,0.005743,0.005743,0.005743
45,5583.1,0.59316,1.18304,0.44697,1.0587,0.91548,0.90084,0.94979,0.82634,0.9167,0.90204,0.95088,0.80031,0.55515,1.116,0.40986,1.02675,0.005644,0.005644,0.005644
46,5706.78,0.59529,1.16975,0.4452,1.05836,0.91878,0.89724,0.948,0.82797,0.9265,0.89183,0.94677,0.80306,0.54992,1.10708,0.41923,1.01382,0.005545,0.005545,0.005545
47,5830.25,0.59291,1.17661,0.44705,1.06179,0.93327,0.88462,0.9496,0.82982,0.93285,0.88496,0.94919,0.80301,0.54537,1.12576,0.40739,1.02074,0.005446,0.005446,0.005446
48,5954.1,0.59164,1.16612,0.44535,1.05696,0.93972,0.88221,0.94826,0.82873,0.93003,0.88669,0.94754,0.80158,0.55711,1.12386,0.41009,1.02596,0.005347,0.005347,0.005347
49,6077.63,0.5843,1.15282,0.43786,1.05481,0.94267,0.87947,0.94972,0.83124,0.94067,0.87654,0.94798,0.80279,0.54521,1.10944,0.40936,1.01716,0.005248,0.005248,0.005248
50,6201.04,0.58171,1.15232,0.43063,1.05439,0.9309,0.89866,0.94897,0.82986,0.9286,0.89724,0.94666,0.80156,0.54968,1.12726,0.40932,1.01895,0.005149,0.005149,0.005149
51,6324.72,0.58781,1.15562,0.43383,1.05412,0.93749,0.89221,0.95186,0.83207,0.93738,0.88702,0.94822,0.80497,0.54849,1.11001,0.40258,1.01376,0.00505,0.00505,0.00505
52,6448.19,0.57836,1.13813,0.42251,1.04704,0.93337,0.90264,0.95274,0.83217,0.93031,0.89857,0.94822,0.80551,0.5433,1.11077,0.39195,1.01673,0.004951,0.004951,0.004951
53,6571.78,0.57874,1.14299,0.43053,1.04717,0.93877,0.89183,0.94916,0.83061,0.93682,0.89103,0.94924,0.80309,0.54521,1.10918,0.40608,1.01708,0.004852,0.004852,0.004852
54,6695.63,0.57983,1.14268,0.42856,1.04718,0.92421,0.89964,0.95101,0.8309,0.92553,0.89844,0.95032,0.80494,0.54297,1.10299,0.39657,1.0154,0.004753,0.004753,0.004753
55,6819.21,0.58012,1.13997,0.42483,1.04953,0.94371,0.88582,0.95159,0.83361,0.94036,0.89065,0.9505,0.80603,0.543,1.10497,0.39923,1.01617,0.004654,0.004654,0.004654
56,6942.67,0.57489,1.12428,0.4212,1.0451,0.93167,0.89483,0.95032,0.83338,0.93065,0.89183,0.94877,0.80495,0.54152,1.11471,0.39685,1.0145,0.004555,0.004555,0.004555
57,7066.35,0.56993,1.12559,0.42061,1.04674,0.93373,0.89758,0.95249,0.83684,0.92784,0.89632,0.95078,0.80609,0.54517,1.12259,0.39302,1.01844,0.004456,0.004456,0.004456
58,7190.16,0.56707,1.12015,0.41394,1.04221,0.94844,0.88221,0.95409,0.83658,0.94844,0.88221,0.95154,0.80916,0.54043,1.11247,0.39119,1.01611,0.004357,0.004357,0.004357
59,7314.09,0.56826,1.11946,0.4175,1.04117,0.94054,0.88882,0.95346,0.83784,0.94463,0.88942,0.95283,0.80752,0.53194,1.09961,0.39018,1.00046,0.004258,0.004258,0.004258
60,7438.03,0.57328,1.12287,0.41502,1.04367,0.93905,0.8981,0.95303,0.83913,0.93735,0.89917,0.95308,0.8105,0.53497,1.10222,0.39053,1.00542,0.004159,0.004159,0.004159
61,7562.1,0.56585,1.10649,0.41213,1.03984,0.93705,0.89457,0.95185,0.83677,0.9354,0.89663,0.95172,0.80809,0.53426,1.10208,0.39742,1.00518,0.00406,0.00406,0.00406
62,7686,0.56461,1.1101,0.41254,1.03762,0.93705,0.89457,0.95427,0.83759,0.93602,0.89663,0.95193,0.80638,0.53811,1.09859,0.39289,1.01102,0.003961,0.003961,0.003961
